a	DT
irritant's	NN
irritants	NNS
irritate	VBP
irritated	JJ
irritates	NNS
irritating	VBG
irritatingly	RB
irritation	NN
irritation's	JJ
irritations	NNS
irrupt	VBP
irrupted	VBN
irrupting	JJ
irruption	NN
irruption's	NN
irruptions	NNS
irruptive	JJ
irrupts	NNS
irs	VBP
irs's	JJ
irtish	JJ
irtish's	NN
irvin	NN
irvin's	NN
irvine	NN
irvine's	NN
irving	VBG
irving's	JJ
irwin	NN
irwin's	NN
is	VBZ
isaac	JJ
isaac's	JJ
isabel	NN
isabel's	NN
isabella	NN
isabella's	NN
isabelle	NN
isabelle's	NN
isaiah	NN
isaiah's	NN
isbn	NN
iscariot	NN
iscariot's	NN
ischemia	NN
ischemic	JJ
isfahan	NN
isfahan's	NN
isherwood	NN
isherwood's	NN
ishim	NN
ishim's	NN
ishmael	NN
ishmael's	NN
ishtar	NN
ishtar's	NN
isiah	NN
isiah's	NN
isidro	NN
isidro's	JJ
isinglass	NN
isinglass's	NN
isis	NN
isis's	NN
isl	NN
islam	NN
islam's	NN
islamabad	NN
islamabad's	JJ
islamic	JJ
islamic's	NN
islamism	NN
islamism's	JJ
islamist	NN
islamist's	NN
islamophobia	NN
islamophobic	JJ
islams	NNS
island	VBP
island's	JJ
islander	NN
islander's	NN
islanders	NNS
islands	VBP
isle	JJ
isle's	NN
isles	NNS
islet	VBP
islet's	JJ
islets	NNS
ism	VBP
ism's	JJ
ismael	NN
ismael's	NN
ismail	NN
ismail's	NN
isms	VBP
isn't	NN
iso	NN
iso's	NN
isobar	NN
isobar's	NN
isobaric	JJ
isobars	NNS
isolate	VBP
isolate's	NNS
isolated	VBN
isolates	NNS
isolating	VBG
isolation	NN
isolation's	NN
isolationism	NN
isolationism's	JJ
isolationist	NN
isolationist's	NN
isolationists	NNS
isolde	VBP
isolde's	JJ
isomer	NN
isomer's	NN
isomeric	JJ
isomerism	NN
isomerism's	NN
isomers	NNS
isometric	VBP
isometrically	RB
isometrics	NNS
isometrics's	VBP
isomorphic	JJ
isosceles	NNS
isotherm	VBP
isotherm's	JJ
isotherms	NNS
isotope	VBP
isotope's	JJ
isotopes	NNS
isotopic	VBP
isotropic	JJ
isp	NN
ispell	NN
ispell's	NN
israel	NN
israel's	NN
israeli	JJ
israeli's	NN
israelis	NN
israelite	JJ
israelite's	NN
israels	NNS
iss	VBP
issac	JJ
issac's	NN
issachar	NN
issachar's	JJ
issuance	NN
issuance's	JJ
issue	NN
issue's	NN
issued	VBD
issuer	JJ
issuer's	JJ
issuers	NNS
issues	NNS
issuing	VBG
istanbul	JJ
istanbul's	NN
isthmian	JJ
isthmus	NN
isthmus's	NN
isthmuses	VBZ
isuzu	JJ
isuzu's	NN
it	PRP
it'd	VBZ
it'll	JJ
it's	NN
itaipu	NN
itaipu's	JJ
ital	JJ
italian	JJ
italian's	NN
italianate	NN
italians	NNS
italic	JJ
italic's	JJ
italicization	NN
italicization's	NN
italicize	VB
italicized	JJ
italicizes	NNS
italicizing	VBG
italics	NNS
italics's	JJ
italy	JJ
italy's	NN
itasca	NN
itasca's	NN
itch	NN
itch's	NN
itched	VBD
itches	NNS
itchier	JJ
itchiest	JJS
itchiness	NN
itchiness's	NN
itching	VBG
itchy	JJ
item	NN
item's	JJ
itemization	NN
itemization's	NN
itemize	VB
itemized	JJ
itemizes	NNS
itemizing	VBG
items	NNS
iterate	RB
iterated	VBN
iterates	NNS
iterating	VBG
iteration	NN
iteration's	NN
iterations	NNS
iterative	JJ
iterator	NN
iterators	NNS
ithaca	VBP
ithaca's	JJ
ithacan	JJ
ithacan's	NN
itinerant	JJ
itinerant's	NN
itinerants	NNS
itineraries	NNS
itinerary	VBP
itinerary's	JJ
ito	NN
ito's	NN
its	PRP$
itself	PRP
itunes	JJ
itunes's	NN
iud	NN
iv	NN
iv's	NN
iva	NN
iva's	NN
ivan	NN
ivan's	NN
ivanhoe	NN
ivanhoe's	NN
ives	VBZ
ives's	JJ
ivf	NN
ivied	JJ
ivies	NNS
ivorian	JJ
ivories	NNS
ivory	VBP
ivory's	JJ
ivs	NN
ivy	NN
ivy's	NN
ix	NN
iyar	NN
iyar's	NN
izaak	NN
izaak's	NN
izanagi	NN
izanagi's	NN
izanami	NN
izanami's	NN
izhevsk	NN
izhevsk's	NN
izmir	NN
izmir's	NN
izod	NN
izod's	NN
izvestia	NN
izvestia's	NN
j	NN
j's	NN
jab	NN
jab's	NN
jabbed	VBD
jabber	NNP
jabber's	NN
jabbered	VBD
jabberer	NN
jabberer's	NN
jabberers	NNS
jabbering	VBG
jabbers	NNS
jabbing	VBG
jabot	NN
jabot's	NN
jabots	NNS
jabs	VBP
jacaranda	NN
jacaranda's	NN
jacarandas	NN
jack	NN
jack's	NN
jackal	NN
jackal's	NN
jackals	NNS
jackass	VBP
jackass's	NN
jackasses	NNS
jackboot	VBP
jackboot's	NN
jackbooted	VBN
jackboots	NNS
jackdaw	VBP
jackdaw's	JJ
jackdaws	NN
jacked	VBD
jacket	NN
jacket's	NN
jacketed	VBD
jackets	NNS
jackhammer	JJ
jackhammer's	NN
jackhammers	NNS
jackie	VBP
jackie's	NN
jacking	VBG
jackknife	NN
jackknife's	NN
jackknifed	NN
jackknifes	NN
jackknifing	VBG
jackknives	NNS
jacklyn	JJ
jacklyn's	NN
jackpot	NN
jackpot's	NN
jackpots	NNS
jackrabbit	VBP
jackrabbit's	JJ
jackrabbits	NNS
jacks	NNS
jackson	VBP
jackson's	JJ
jacksonian	JJ
jacksonian's	NN
jacksonville	NN
jacksonville's	NN
jackstraw	NN
jackstraw's	NN
jackstraws	NN
jacky	JJ
jacky's	NN
jaclyn	NN
jaclyn's	NN
jacob	NN
jacob's	NN
jacobean	NN
jacobean's	NN
jacobi	NN
jacobi's	NN
jacobin	NN
jacobin's	NN
jacobite	NN
jacobite's	NN
jacobs	NN
jacobs's	NN
jacobson	NN
jacobson's	NN
jacquard	NN
jacquard's	NN
jacqueline	NN
jacqueline's	NN
jacquelyn	NN
jacquelyn's	NN
jacques	NNS
jacques's	VBP
jacuzzi	JJ
jacuzzi's	NN
jade	NN
jade's	NN
jaded	VBD
jadedly	RB
jadedness	JJ
jadedness's	NN
jadeite	NN
jadeite's	NN
jades	NNS
jading	VBG
jag	NN
jag's	NN
jagged	VBD
jaggeder	NN
jaggedest	NN
jaggedly	RB
jaggedness	JJ
jaggedness's	NN
jagger	NN
jagger's	NN
jaggies	NNS
jagiellon	VBP
jagiellon's	NN
jags	NNS
jaguar	VBP
jaguar's	JJ
jaguars	NNS
jahangir	VBP
jahangir's	JJ
jail	NN
jail's	NN
jailbird	NN
jailbird's	NN
jailbirds	NNS
jailbreak	VBP
jailbreak's	JJ
jailbreaks	NNS
jailed	VBN
jailer	NN
jailer's	NN
jailers	NNS
jailhouse	VBP
jailhouses	NNS
jailing	VBG
jails	NNS
jaime	JJ
jaime's	NN
jain	NN
jain's	NN
jainism	NN
jainism's	NN
jaipur	NN
jaipur's	NN
jakarta	NN
jakarta's	NN
jake	NN
jake's	NN
jalapeno	NN
jalapeno's	NN
jalapenos	NN
jalopies	NNS
jalopy	VBP
jalopy's	NN
jalousie	NN
jalousie's	NN
jalousies	NNS
jam	VBP
jam's	NN
jamaal	NN
jamaal's	NN
jamaica	NN
jamaica's	NN
jamaican	JJ
jamaican's	NN
jamaicans	NNS
jamal	JJ
jamal's	NN
jamar	NN
jamar's	NN
jamb	NN
jamb's	NN
jambalaya	NN
jambalaya's	NN
jamboree	NN
jamboree's	NN
jamborees	NNS
jambs	VBP
jame	NN
jame's	NN
jamel	NN
jamel's	NN
james	NNS
james's	VBP
jamestown	JJ
jamestown's	NN
jami	NN
jami's	NN
jamie	NN
jamie's	NN
jammed	VBD
jammier	JJR
jammiest	JJS
jamming	VBG
jammy	JJ
jams	NNS
jan	VBP
jan's	NN
jana	NN
jana's	NN
janacek	NN
janacek's	NN
jane	NN
jane's	NN
janell	NN
janell's	NN
janelle	NN
janelle's	NN
janet	NN
janet's	NN
janette	NN
janette's	NN
jangle	NN
jangle's	NN
jangled	VBD
jangler	NN
jangler's	NN
janglers	NNS
jangles	NNS
jangling	VBG
janice	NN
janice's	NN
janie	NN
janie's	NN
janine	NN
janine's	NN
janis	NN
janis's	NN
janissary	JJ
janissary's	NN
janitor	NN
janitor's	NN
janitorial	JJ
janitors	NNS
janjaweed	VBP
janjaweed's	JJ
janna	NN
janna's	NN
jannie	NN
jannie's	NN
jansen	NN
jansen's	NN
jansenist	NN
jansenist's	NN
januaries	NNS
january	VBP
january's	NN
janus	NN
janus's	NN
japan	NN
japan's	VBP
japanese	JJ
japanese's	NN
japaneses	NNS
japanned	VBD
japanning	VBG
japans	NNS
jape	NN
jape's	NN
japed	VBD
japes	NNS
japing	VBG
japura	NN
japura's	NN
jar	NN
jar's	NN
jardiniere	RB
jardiniere's	JJ
jardinieres	NNS
jared	VBD
jared's	JJ
jarful	JJ
jarful's	NN
jarfuls	NN
jargon	NN
jargon's	NN
jarlsberg	NN
jarlsberg's	NN
jarred	VBD
jarred's	JJ
jarrett	NN
jarrett's	NN
jarring	VBG
jarringly	RB
jarrod	JJ
jarrod's	NN
jars	NNS
jarvis	VBP
jarvis's	JJ
jasmine	NN
jasmine's	NN
jasmines	NNS
jason	NN
jason's	NN
jasper	NN
jasper's	NN
jataka	NN
jataka's	NN
jato	NN
jato's	NN
jatos	NN
jaundice	NN
jaundice's	NN
jaundiced	VBD
jaundices	NNS
jaundicing	VBG
jaunt	NN
jaunt's	NN
jaunted	VBD
jauntier	JJR
jauntiest	JJS
jauntily	RB
jauntiness	JJ
jauntiness's	NN
jaunting	VBG
jaunts	NNS
jaunty	JJ
java	NN
java's	NN
javanese	JJ
javanese's	NN
javas	NN
javascript	NN
javascript's	NN
javelin	NN
javelin's	NN
javelins	NNS
javier	VBP
javier's	JJ
jaw	NN
jaw's	NN
jawbone	NN
jawbone's	NN
jawboned	VBD
jawbones	NNS
jawboning	VBG
jawbreaker	NN
jawbreaker's	NN
jawbreakers	NNS
jawed	VBD
jawing	VBG
jawless	NN
jawline	NN
jawlines	NNS
jaws	VBP
jaxartes	NNS
jaxartes's	VBP
jay	JJ
jay's	NN
jayapura	NN
jayapura's	NN
jayawardene	NN
jayawardene's	NN
jaybird	NN
jaybird's	NN
jaybirds	NNS
jaycee	NN
jaycee's	NN
jaycees	NNS
jaycees's	VBP
jayne	JJ
jayne's	NN
jays	NNS
jayson	VBP
jayson's	JJ
jaywalk	NN
jaywalked	VBD
jaywalker	NN
jaywalker's	NN
jaywalkers	NNS
jaywalking	VBG
jaywalking's	NN
jaywalks	NNS
jazz	VBP
jazz's	NN
jazzed	VBN
jazzes	NNS
jazzier	RBR
jazziest	JJS
jazzing	VBG
jazzy	JJ
jcs	NN
jct	NN
jd	NN
jealous	JJ
jealousies	NNS
jealously	RB
jealousy	JJ
jealousy's	NN
jean	NN
jean's	NN
jeanette	NN
jeanette's	NN
jeanie	NN
jeanie's	NN
jeanine	NN
jeanine's	NN
jeanne	NN
jeanne's	NN
jeannette	NN
jeannette's	NN
jeannie	NN
jeannie's	NN
jeannine	NN
jeannine's	NN
jeans	NNS
jeans's	VBP
jed	JJ
jed's	NN
jedi	NN
jedi's	NN
jeep	NN
jeep's	NN
jeeps	NNS
jeer	VBP
jeer's	NN
jeered	VBD
jeering	VBG
jeering's	NN
jeeringly	RB
jeers	VBZ
jeeves	NNS
jeeves's	JJ
jeez	NN
jeff	NN
jeff's	NN
jefferey	NN
jefferey's	NN
jefferson	NN
jefferson's	NN
jeffersonian	JJ
jeffersonian's	NN
jeffery	NN
jeffery's	NN
jeffrey	NN
jeffrey's	NN
jeffry	NN
jeffry's	NN
jehoshaphat	WP
jehoshaphat's	VBZ
jehovah	NN
jehovah's	NN
jejuna	NN
jejune	NN
jejunum	NN
jejunum's	NN
jekyll	NN
jekyll's	NN
jell	NN
jelled	VBD
jellied	JJ
jellies	NNS
jelling	VBG
jello	NN
jellos	NN
jells	NNS
jelly	RB
jelly's	JJ
jellybean	JJ
jellybean's	NN
jellybeans	NNS
jellyfish	JJ
jellyfish's	NN
jellyfishes	NNS
jellying	VBG
jellylike	NN
jellyroll	NN
jellyroll's	NN
jellyrolls	NNS
jemmied	JJ
jemmies	NNS
jemmy	VBP
jemmying	VBG
jenifer	NN
jenifer's	NN
jenkins	NNS
jenkins's	VBP
jenna	NN
jenna's	NN
jenner	NN
jenner's	JJ
jennet	NN
jennet's	NN
jennets	NNS
jennie	VBP
jennie's	JJ
jennies	NNS
jennifer	VBP
jennifer's	JJ
jennings	NNS
jennings's	NN
jenny	NN
jenny's	NN
jensen	NN
jensen's	NN
jeopardize	NN
jeopardized	VBD
jeopardizes	NNS
jeopardizing	VBG
jeopardy	NN
jeopardy's	NN
jephthah	NN
jephthah's	NN
jerald	NN
jerald's	NN
jeremiad	NN
jeremiad's	NN
jeremiads	NNS
jeremiah	VBP
jeremiah's	NN
jeremiahs	NN
jeremy	NN
jeremy's	NN
jeri	NN
jeri's	NN
jericho	NN
jericho's	NN
jerk	NN
jerk's	NN
jerked	VBD
jerkier	JJR
jerkiest	JJS
jerkily	RB
jerkin	JJ
jerkin's	NN
jerkiness	NN
jerkiness's	NN
jerking	NN
jerkins	NNS
jerks	NNS
jerkwater	NN
jerky	NN
jerky's	NN
jermaine	NN
jermaine's	NN
jeroboam	NN
jeroboam's	NN
jeroboams	NNS
jerold	VBP
jerold's	JJ
jerome	NN
jerome's	NN
jerri	NN
jerri's	NN
jerrod	NN
jerrod's	NN
jerrold	NN
jerrold's	NN
jerry	NN
jerry's	NN
jerrybuilt	JJ
jerrycan	JJ
jerrycans	NNS
jersey	VBP
jersey's	JJ
jerseys	NNS
jerusalem	VBP
jerusalem's	NN
jess	NN
jess's	NN
jesse	NN
jesse's	NN
jessica	NN
jessica's	NN
jessie	NN
jessie's	NN
jest	NN
jest's	NN
jested	VBD
jester	NN
jester's	NN
jesters	NNS
jesting	VBG
jestingly	RB
jests	NNS
jesuit	VBP
jesuit's	JJ
jesuits	NNS
jesus	NN
jesus's	NN
jet	NN
jet's	NN
jetliner	NN
jetliner's	NN
jetliners	NNS
jetport	VBP
jetport's	NN
jetports	NNS
jets	NNS
jetsam	VBP
jetsam's	NN
jetted	JJ
jetties	NNS
jetting	VBG
jettison	NN
jettison's	NN
jettisoned	VBD
jettisoning	VBG
jettisons	NNS
jetty	JJ
jetty's	JJ
jetway	NN
jetway's	NN
jew	NN
jew's	NN
jewel	NN
jewel's	NN
jeweled	VBD
jeweler	NN
jeweler's	NN
jewelers	NNS
jeweling	VBG
jewell	NN
jewell's	NN
jewelled	VBD
jeweller	NN
jeweller's	NN
jewellers	NNS
jewellery	VBP
jewellery's	NN
jewelling	NN
jewelries	NNS
jewelry	VBP
jewelry's	NN
jewels	NNS
jewess	NN
jewess's	NN
jewesses	VBZ
jewish	JJ
jewish's	NN
jewishness	NN
jewry	NN
jewry's	NN
jews	NNS
jezebel	NN
jezebel's	NN
jezebels	NNS
jfk	VBP
jfk's	NN
jg	NN
jib	NN
jib's	NN
jibbed	VBD
jibbing	VBG
jibe	NN
jibe's	NN
jibed	VBD
jibes	NNS
jibing	VBG
jibs	NN
jidda	NN
jidda's	NN
jiff	NN
jiff's	NN
jiffies	NNS
jiffs	VBP
jiffy	JJ
jiffy's	NN
jig	NN
jig's	NN
jigged	VBD
jigger	NN
jigger's	NN
jiggered	VBD
jiggering	VBG
jiggers	NNS
jigging	VBG
jiggle	NN
jiggle's	NN
jiggled	VBD
jiggles	NNS
jiggling	VBG
jiggly	RB
jigs	NNS
jigsaw	VBD
jigsaw's	NN
jigsawed	VBD
jigsawing	VBG
jigsaws	NN
jihad	VBD
jihad's	JJ
jihadist	NN
jihadist's	NN
jihadists	NNS
jihads	VBP
jilin	NN
jilin's	NN
jill	NN
jill's	NN
jillian	JJ
jillian's	NN
jilt	NN
jilt's	NN
jilted	VBD
jilting	VBG
jilts	NNS
jim	JJ
jim's	NN
jimenez	NN
jimenez's	NN
jimmie	NN
jimmie's	NN
jimmied	VBD
jimmies	NNS
jimmy	VBP
jimmy's	NN
jimmying	VBG
jimsonweed	NN
jimsonweed's	NN
jinan	NN
jinan's	NN
jingle	NN
jingle's	NN
jingled	VBD
jingles	NNS
jingling	VBG
jingly	RB
jingoism	NN
jingoism's	JJ
jingoist	NN
jingoist's	NN
jingoistic	JJ
jingoists	NNS
jink	VBP
jinked	JJ
jinking	NN
jinks	NNS
jinn	VBP
jinnah	NN
jinnah's	NN
jinni	NN
jinni's	NN
jinny	NN
jinny's	NN
jinrikisha	NN
jinrikisha's	NN
jinrikishas	NN
jinx	NN
jinx's	NN
jinxed	NN
jinxes	NNS
jinxing	VBG
jitney	NN
jitney's	NN
jitneys	NNS
jitterbug	VBP
jitterbug's	NN
jitterbugged	VBN
jitterbugger	NN
jitterbugger's	NN
jitterbugging	VBG
jitterbugs	NNS
jitterier	JJR
jitteriest	JJS
jitters	NNS
jitters's	VBP
jittery	JJ
jivaro	NN
jivaro's	NN
jive	JJ
jive's	NN
jived	VBD
jives	NNS
jiving	VBG
jo	NN
jo's	NN
joan	NN
joan's	NN
joann	NN
joann's	NN
joanna	NN
joanna's	NN
joanne	NN
joanne's	NN
joaquin	NN
joaquin's	NN
job	NN
job's	NN
jobbed	VBD
jobber	NNP
jobber's	NN
jobbers	NNS
jobbing	VBG
jobholder	NN
jobholder's	NN
jobholders	NNS
jobless	JJ
joblessness	NN
joblessness's	NN
jobs	NNS
jobs's	NN
jobshare	NN
jobshares	VBZ
jobsworth	JJ
jobsworths	NNS
jocasta	NN
jocasta's	NN
jocelyn	NN
jocelyn's	NN
jock	NN
jock's	NN
jockey	NN
jockey's	NN
jockeyed	VBD
jockeying	VBG
jockeys	NN
jocks	NNS
jockstrap	VBP
jockstrap's	NN
jockstraps	NNS
jocose	VBP
jocosely	RB
jocoseness	JJ
jocoseness's	NN
jocosity	NN
jocosity's	NN
jocular	JJ
jocularity	NN
jocularity's	NN
jocularly	RB
jocund	JJ
jocundity	NN
jocundity's	NN
jocundly	RB
jodhpurs	VBZ
jodhpurs's	NN
jodi	NN
jodi's	NN
jodie	NN
jodie's	NN
jody	NN
jody's	NN
joe	NN
joe's	NN
joel	NN
joel's	NN
joey	NN
joey's	NN
joeys	NNS
jog	VBP
jog's	NN
jogged	VBN
jogger	NN
jogger's	NN
joggers	NNS
jogging	VBG
jogging's	NN
joggle	NN
joggle's	NN
joggled	VBD
joggles	NNS
joggling	VBG
jogjakarta	NN
jogjakarta's	NN
jogs	NNS
johann	VBP
johann's	NN
johanna	NN
johanna's	NN
johannes	NNS
johannes's	VBP
johannesburg	NN
johannesburg's	NN
john	NN
john's	NN
johnathan	NN
johnathan's	NN
johnathon	NN
johnathon's	NN
johnie	NN
johnie's	NN
johnnie	NN
johnnie's	NN
johnnies	NNS
johnny	VBP
johnny's	NNS
johnnycake	VBP
johnnycake's	NN
johnnycakes	NNS
johns	VBP
johns's	NN
johnson	NN
johnson's	NN
johnston	NN
johnston's	NN
join	NN
join's	NN
joined	VBD
joiner	NN
joiner's	NN
joiners	NNS
joinery	VBP
joinery's	NN
joining	NN
joins	VBZ
joint	JJ
joint's	NNS
jointed	VBD
jointing	VBG
jointly	RB
joints	NNS
joist	VBP
joist's	JJ
joists	NNS
jojoba	VBP
joke	NN
joke's	NN
joked	VBD
joker	NN
joker's	NN
jokers	NNS
jokes	VBP
jokester	NN
jokey	NN
jokier	NN
jokiest	NN
joking	VBG
jokingly	RB
jolene	JJ
jolene's	NN
jollied	VBD
jollier	JJR
jollies	NNS
jolliest	JJS
jollification	NN
jollification's	NN
jollifications	NNS
jollily	RB
jolliness	JJ
jolliness's	NN
jollity	NN
jollity's	NN
jolly	RB
jolly's	JJ
jollying	VBG
jolson	NN
jolson's	NN
jolt	NN
jolt's	NN
jolted	VBD
jolter	NN
jolter's	NN
jolters	NNS
jolting	VBG
jolts	NNS
jon	JJ
jon's	NN
jonah	NN
jonah's	NN
jonahs	NN
jonas	NN
jonas's	NN
jonathan	NN
jonathan's	NN
jonathon	NN
jonathon's	NN
jones	NNS
jones's	VBP
joni	JJ
joni's	NN
jonquil	NN
jonquil's	NN
jonquils	NNS
jonson	NN
jonson's	NN
joplin	NN
joplin's	NN
jordan	NN
jordan's	NN
jordanian	JJ
jordanian's	NN
jordanians	NNS
jorge	VBP
jorge's	NNS
jose	JJ
jose's	NNS
josef	VBP
josef's	NN
josefa	NN
josefa's	NN
josefina	NN
josefina's	NN
joseph	NN
joseph's	NN
josephine	NN
josephine's	NN
josephs	NN
josephson	NN
josephson's	NN
josephus	NN
josephus's	NN
josh	NN
josh's	NN
joshed	VBD
josher	RB
josher's	JJ
joshers	NNS
joshes	NNS
joshing	VBG
joshua	NN
joshua's	NN
josiah	NN
josiah's	NN
josie	NN
josie's	NN
jostle	NN
jostle's	NN
jostled	VBD
jostles	NNS
jostling	VBG
josue	NN
josue's	NN
jot	NN
jot's	NN
jots	NNS
jotted	VBD
jotter	NN
jotter's	NN
jotters	NNS
jotting	VBG
jotting's	NN
jottings	NNS
joule	NN
joule's	NN
joules	NNS
jounce	NN
jounce's	NN
jounced	VBD
jounces	NNS
jouncing	VBG
jouncy	NN
journal	NN
journal's	NN
journalese	JJ
journalese's	NN
journalism	NN
journalism's	JJ
journalist	NN
journalist's	NN
journalistic	JJ
journalists	NNS
journals	NNS
journey	VBP
journey's	NN
journeyed	VBN
journeyer	NN
journeyer's	NN
journeyers	NNS
journeying	VBG
journeyman	NN
journeyman's	NN
journeymen	NNS
journeys	VBP
journo	JJ
journos	NN
joust	NN
joust's	NN
jousted	VBD
jouster	NN
jouster's	NN
jousters	NNS
jousting	VBG
jousting's	NN
jousts	NNS
jove	VBP
jove's	NN
jovial	JJ
joviality	NN
joviality's	NN
jovially	RB
jovian	JJ
jovian's	NN
jowl	NN
jowl's	NN
jowlier	NN
jowliest	JJS
jowls	NN
jowly	NN
joy	NN
joy's	NN
joyce	NN
joyce's	NN
joycean	NN
joycean's	NN
joyed	VBD
joyful	JJ
joyfuller	NN
joyfullest	NN
joyfully	RB
joyfulness	JJ
joyfulness's	NN
joying	VBG
joyless	NN
joylessly	RB
joylessness	JJ
joylessness's	NN
joyner	NN
joyner's	VBP
joyous	JJ
joyously	RB
joyousness	JJ
joyousness's	NN
joyridden	NN
joyride	NN
joyride's	NN
joyrider	NN
joyrider's	NN
joyriders	NNS
joyrides	NNS
joyriding	VBG
joyriding's	NN
joyrode	NN
joys	VBZ
joystick	JJ
joystick's	NN
joysticks	NNS
jp	VBP
jpeg	NN
jpn	NN
jr	NN
jr's	NN
juan	NN
juan's	NN
juana	NN
juana's	NN
juanita	NN
juanita's	NN
juarez	NN
juarez's	NN
jubal	NN
jubal's	NN
jubilance	NN
jubilant	NN
jubilantly	RB
jubilation	NN
jubilation's	NN
jubilee	NN
jubilee's	NN
jubilees	NNS
judaeo	VBP
judah	NN
judah's	NN
judaic	JJ
judaical	JJ
judaism	NN
judaism's	NN
judaisms	NN
judas	NN
judas's	NN
judases	VBZ
judd	JJ
judd's	NN
judder	NN
juddered	VBD
juddering	VBG
judders	NNS
jude	VBP
jude's	JJ
judea	NN
judea's	NN
judge	NN
judge's	NN
judged	VBD
judges	NNS
judgeship	NN
judgeship's	NN
judging	VBG
judgingly	RB
judgment	JJ
judgment's	NN
judgmental	NN
judgmentally	RB
judgments	NNS
judicatories	NNS
judicatory	VBP
judicatory's	JJ
judicature	NN
judicature's	NN
judicial	JJ
judicially	RB
judiciaries	NNS
judiciary	VBP
judiciary's	NN
judicious	JJ
judiciously	RB
judiciousness	JJ
judiciousness's	NN
judith	NN
judith's	NN
judo	NN
judo's	NN
judson	NN
judson's	NN
judy	NN
judy's	NN
jug	NN
jug's	NN
jugful	JJ
jugful's	NN
jugfuls	NNS
jugged	VBD
juggernaut	NN
juggernaut's	NN
juggernauts	NNS
jugging	VBG
juggle	NN
juggle's	NN
juggled	VBD
juggler	NN
juggler's	NN
jugglers	NNS
jugglery	VBP
jugglery's	NN
juggles	NNS
juggling	VBG
jugs	NNS
jugular	JJ
jugular's	NN
jugulars	NNS
juice	VBP
juice's	NN
juiced	JJ
juicer	NN
juicer's	NN
juicers	NNS
juices	NNS
juicier	JJR
juiciest	JJS
juicily	RB
juiciness	JJ
juiciness's	NN
juicing	NN
juicy	NN
jujitsu	NN
jujitsu's	NN
jujube	NN
jujube's	NN
jujubes	NN
jukebox	NN
jukebox's	NN
jukeboxes	NNS
jul	VBP
julep	NN
julep's	NN
juleps	NNS
jules	NNS
jules's	VBP
julia	JJ
julia's	NN
julian	JJ
julian's	NN
juliana	NN
juliana's	NN
julianne	NN
julianne's	NN
julie	NN
julie's	NN
julienne	NN
julies	NNS
juliet	VBP
juliet's	JJ
juliette	NN
juliette's	NN
julio	NN
julio's	NN
julius	NN
julius's	NN
julliard	NN
julliard's	NN
july	NN
july's	NN
jumble	JJ
jumble's	NN
jumbled	VBD
jumbles	NNS
jumbling	VBG
jumbo	JJ
jumbo's	NN
jumbos	NNS
jump	VBP
jump's	NN
jumped	VBD
jumper	JJR
jumper's	NN
jumpers	NNS
jumpier	VBP
jumpiest	JJS
jumpily	RB
jumpiness	JJ
jumpiness's	NN
jumping	VBG
jumps	NNS
jumpsuit	NN
jumpsuit's	NN
jumpsuits	NNS
jumpy	VBP
jun	NN
jun's	NN
junco	NN
junco's	NN
juncos	NN
junction	NN
junction's	NN
junctions	NNS
juncture	NN
juncture's	NN
junctures	NNS
june	VBP
june's	NN
juneau	NN
juneau's	NN
junes	NNS
jung	NN
jung's	NN
jungfrau	NN
jungfrau's	NN
jungian	JJ
jungian's	NN
jungle	NN
jungle's	NN
jungles	NNS
junior	JJ
junior's	NN
juniors	NNS
juniper	VBP
juniper's	NN
junipers	NNS
junk	NN
junk's	NN
junked	VBD
junker	NN
junker's	NN
junkers	NNS
junket	VBP
junket's	NN
junketed	VBN
junketeer	NN
junketeer's	NN
junketeers	NNS
junketing	VBG
junkets	NNS
junkie	VBP
junkie's	NN
junkier	NN
junkies	NNS
junkiest	VBP
junking	VBG
junkman	NN
junks	NNS
junkyard	VBP
junkyard's	NN
junkyards	NNS
juno	VBP
juno's	NN
junta	NN
junta's	NN
juntas	NNS
jupiter	NN
jupiter's	NN
jurassic	JJ
jurassic's	NN
juridic	JJ
juridical	JJ
juridically	NN
juries	NNS
jurisdiction	NN
jurisdiction's	VBP
jurisdictional	JJ
jurisdictions	NNS
jurisprudence	NN
jurisprudence's	NN
jurist	NN
jurist's	NN
juristic	JJ
jurists	NNS
juror	VBP
juror's	JJ
jurors	NNS
jurua	VBP
jurua's	JJ
jury	NN
jury's	NN
juryman	NN
juryman's	NN
jurymen	NNS
jurywoman	VBP
jurywoman's	JJ
jurywomen	NNS
just	RB
juster	RB
justest	JJ
justice	NN
justice's	NN
justices	NNS
justifiable	JJ
justifiably	RB
justification	NN
justification's	NN
justifications	NNS
justified	VBD
justifier	JJR
justifies	NNS
justify	VBP
justifying	VBG
justin	NN
justin's	NN
justine	NN
justine's	NN
justinian	JJ
justinian's	NN
justly	RB
justness	JJ
justness's	NN
jut	NN
jut's	NN
jute	NN
jute's	NN
jutland	NN
jutland's	NN
juts	NNS
jutted	VBD
jutting	VBG
juvenal	JJ
juvenal's	NN
juvenile	NN
juvenile's	NN
juveniles	NNS
juxtapose	VBP
juxtaposed	JJ
juxtaposes	NNS
juxtaposing	VBG
juxtaposition	NN
juxtaposition's	NN
juxtapositions	NNS
jv	VBP
k	JJ
k's	NNP
kaaba	NN
kaaba's	NN
kabbalah	NN
kabob	NN
kaboom	NN
kabuki	NN
kabuki's	VBD
kabul	JJ
kabul's	FW
kaddish	JJ
kaddish's	NN
